Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Max,Min,If,if,ifs
11/26/2013,26,November,2013,19,Youth (<25),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,87,17,,,
2/19/2014,19,February,2014,87,Seniors (64+),F,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197,15096,-30,,,
12/17/2015,17,December,2015,27,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",31,42,54,-30,1302,1272,,,,,
12/17/2013,17,December,2013,27,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",30,42,54,-29,1260,1231,,,,,
10/9/2013,9,October,2013,31,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",26,42,54,-25,1092,1067,,,,,
10/9/2015,9,October,2015,31,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",26,42,54,-25,1092,1067,,,,,
7/22/2013,22,July,2013,45,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",25,42,54,-24,1050,1026,,,,,
7/22/2015,22,July,2015,45,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",25,42,54,-24,1050,1026,,,,,
6/16/2016,16,June,2016,36,Adults (35-64),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",25,42,54,-24,1050,1026,,,,,
6/16/2014,16,June,2014,36,Adults (35-64),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",23,42,54,-22,966,944,,,,,
1/28/2014,28,January,2014,45,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",20,42,54,-19,840,821,,,,,
1/28/2016,28,January,2016,45,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",19,42,54,-18,798,780,,,,,
4/16/2014,16,April,2014,21,Youth (<25),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",17,42,54,-16,714,698,,,,,
4/16/2016,16,April,2016,21,Youth (<25),M,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",14,42,54,-13,588,575,,,,,
2/14/2014,14,February,2014,20,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",13,42,54,-12,546,534,,,,,
2/14/2016,14,February,2016,20,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",13,42,54,-12,546,534,,,,,
10/23/2015,23,October,2015,34,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,29,7,9,-5,203,198,,,,,
3/13/2014,13,March,2014,19,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,30,7,9,-5,210,205,,,,,
3/13/2016,13,March,2016,19,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,30,7,9,-5,210,205,,,,,
1/9/2014,9,January,2014,44,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,27,7,9,-4,189,185,,,,,
1/9/2016,9,January,2016,44,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,24,7,9,-4,168,164,,,,,
2/24/2014,24,February,2014,42,Adults (35-64),F,France,Yveline,Clothing,Caps,AWC Logo Cap,22,7,9,-4,154,150,,,,,
10/23/2013,23,October,2013,34,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,28,7,9,-4,196,192,,,,,
5/28/2014,28,May,2014,27,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,25,7,9,-4,175,171,,,,,
5/28/2016,28,May,2016,27,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,26,7,9,-4,182,178,,,,,
4/2/2014,2,April,2014,25,Young Adults (25-34),F,France,Yveline,Clothing,Caps,AWC Logo Cap,23,7,9,-4,161,157,,,,,
12/1/2013,1,December,2013,24,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,22,7,9,-4,154,150,,,,,
12/9/2015,9,December,2015,20,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,23,7,9,-4,161,157,,,,,
6/6/2014,6,June,2014,27,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,-3,126,123,,,,,
11/18/2013,18,November,2013,48,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,21,7,9,-3,147,144,,,,,
11/18/2015,18,November,2015,48,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,19,7,9,-3,133,130,,,,,
2/24/2016,24,February,2016,42,Adults (35-64),F,France,Yveline,Clothing,Caps,AWC Logo Cap,21,7,9,-3,147,144,,,,,
9/16/2013,16,September,2013,25,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,18,7,9,-3,126,123,,,,,
9/16/2015,16,September,2015,25,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,19,7,9,-3,133,130,,,,,
4/2/2016,2,April,2016,25,Young Adults (25-34),F,France,Yveline,Clothing,Caps,AWC Logo Cap,20,7,9,-3,140,137,,,,,
12/1/2015,1,December,2015,24,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,20,7,9,-3,140,137,,,,,
4/16/2014,16,April,2014,21,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,18,7,9,-3,126,123,,,,,
4/16/2016,16,April,2016,21,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,20,7,9,-3,140,137,,,,,
12/9/2013,9,December,2013,20,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,21,7,9,-3,147,144,,,,,
3/11/2014,11,March,2014,42,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
3/11/2016,11,March,2016,42,Adults (35-64),M,France,Yveline,Clothing,Caps,AWC Logo Cap,11,7,9,-2,77,75,,,,,
10/9/2013,9,October,2013,31,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
10/9/2015,9,October,2015,31,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,11,7,9,-2,77,75,,,,,
11/9/2013,9,November,2013,31,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,12,7,9,-2,84,82,,,,,
11/9/2015,9,November,2015,31,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,14,7,9,-2,98,96,,,,,
7/7/2014,7,July,2014,30,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
7/7/2016,7,July,2016,30,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,15,7,9,-2,105,103,,,,,
6/25/2014,25,June,2014,27,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,11,7,9,-2,77,75,,,,,
6/25/2016,25,June,2016,27,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
4/8/2014,8,April,2014,24,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
4/8/2016,8,April,2016,24,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,13,7,9,-2,91,89,,,,,
6/6/2016,6,June,2016,27,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,-1,42,41,,,,,
3/23/2014,23,March,2014,34,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,4,7,9,-1,28,27,,,,,
11/19/2013,19,November,2013,32,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,6,7,9,-1,42,41,,,,,
11/19/2015,19,November,2015,32,Young Adults (25-34),M,France,Yveline,Clothing,Caps,AWC Logo Cap,5,7,9,-1,35,34,,,,,
1/13/2014,13,January,2014,28,Young Adults (25-34),F,France,Yveline,Clothing,Caps,AWC Logo Cap,8,7,9,-1,56,55,,,,,
1/13/2016,13,January,2016,28,Young Adults (25-34),F,France,Yveline,Clothing,Caps,AWC Logo Cap,9,7,9,-1,63,62,,,,,
9/12/2013,12,September,2013,22,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,4,7,9,-1,28,27,,,,,
9/12/2015,12,September,2015,22,Youth (<25),M,France,Yveline,Clothing,Caps,AWC Logo Cap,4,7,9,-1,28,27,,,,,
6/5/2014,5,June,2014,22,Youth (<25),F,France,Yveline,Clothing,Caps,AWC Logo Cap,6,7,9,-1,42,41,,,,,
4/1/2014,1,April,2014,56,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,0,84,84,,,,,
4/1/2016,1,April,2016,56,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",3,42,54,0,126,126,,,,,
1/31/2014,31,January,2014,53,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,0,84,84,,,,,
1/31/2016,31,January,2016,53,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,0,42,42,,,,,
3/28/2014,28,March,2014,45,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,0,84,84,,,,,
3/28/2016,28,March,2016,45,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,54,0,126,126,,,,,
10/17/2013,17,October,2013,45,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,0,84,84,,,,,
10/17/2015,17,October,2015,45,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,0,42,42,,,,,
11/22/2015,22,November,2015,43,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,0,126,126,,,,,
1/14/2016,14,January,2016,42,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,0,168,168,,,,,
11/5/2015,5,November,2015,42,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",4,42,54,0,168,168,,,,,
1/23/2014,23,January,2014,40,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,0,168,168,,,,,
12/11/2013,11,December,2013,37,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,0,42,42,,,,,
12/11/2015,11,December,2015,37,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,54,0,126,126,,,,,
12/21/2013,21,December,2013,37,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,54,0,126,126,,,,,
12/21/2015,21,December,2015,37,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,54,0,126,126,,,,,
11/30/2013,30,November,2013,34,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,0,42,42,,,,,
11/30/2015,30,November,2015,34,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,0,42,42,,,,,
3/12/2014,12,March,2014,32,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,0,42,42,,,,,
3/12/2016,12,March,2016,32,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,0,42,42,,,,,
2/14/2014,14,February,2014,31,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,0,168,168,,,,,
2/21/2014,21,February,2014,30,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,0,84,84,,,,,
2/21/2016,21,February,2016,30,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",4,42,54,0,168,168,,,,,
